SiteName,Address,City,PostCode,Longitude,Latitude
RMIT Snooze Lounge,445 Swanston St,Melbourne,3000,144.96298244004086,-37.80819680492104
United Petroleum West Gate North,1 West Gate Freeway,Port Melbourne,3207,144.91928699801392,-37.82887048958806
7 Eleven Boundary Rd,163-173 Boundary Road,North Melbourne,3051,144.93967219801291,-37.78946025638684
BP Kings Way,331 Kings Way,South Melbourne,3205,144.97029569834882,-37.83434555796047
Bunnings Collingwood,179-201 Victoria Parade,Collingwood,3066,144.99000860977927,-37.8090275491573
